id,dep_stn,arr_stn,ac_code,dep_date,arr_date,weather,hobbs_meter,year_man,dep_country,arr_country,delay
TU 0814 ,CAI,TUN,TU 31BIMO,2016-01-07 11:00:00,2016-01-07 14.20.00,rainy,9065,2004-08,Egypt,Tunisia,40.0
TU 0789 ,BRU,TUN,TU 320IMV,2016-01-07 11:35:00,2016-01-07 14.15.00,stormy,4301,2004-08,Belgium,Tunisia,31.0
TU 0701 ,GVA,TUN,TU 320IMR,2016-01-07 15:25:00,2016-01-07 17.20.00,stormy,5351,2003-02,Switzerland,Tunisia,28.0
TU 0251 ,NCE,MIR,TU 31AIMK,2016-01-07 15:45:00,2016-01-07 17.25.00,foggy,8748,2011-03,France,Tunisia,44.0
TU 0853 ,FCO,TUN,TU 320IMS,2016-01-07 16:05:00,2016-01-07 17.20.00,stormy,8987,2003-02,Italy,Tunisia,10.0
TU 0643 ,VIE,TUN,TU 736IOK,2016-01-07 16:45:00,2016-01-07 18.55.00,windy,6099,2003-02,Austria,Tunisia,14.0
TU 0441 ,ORY,MIR,TU 736IOR,2016-01-07 17:05:00,2016-01-07 19.40.00,stormy,5040,2010-01,France,Tunisia,26.0
TU 0724 ,TUN,ORY,TU 32AIMP,2016-01-07 18:30:00,2016-01-07 20.50.00,cloudy,7307,2007-05,Tunisia,France,14.0
TU 0282 ,TUN,TLS,TU 736IOP,2016-01-08 07:30:00,2016-01-08 09.25.00,stormy,7254,2004-08,Tunisia,France,17.0
TU 0856 ,TUN,MXP,TU 32AIMI,2016-01-08 07:35:00,2016-01-08 09.20.00,sunny,4533,2009-04,Tunisia,Italy,45.0
TU 0716 ,TUN,ORY,TU 32AIMD,2016-01-08 07:35:00,2016-01-08 09.50.00,stormy,4390,2004-08,Tunisia,France,10.0
TU 0717 ,ORY,TUN,TU 32AIMD,2016-01-08 10:55:00,2016-01-08 13.15.00,sunny,4390,2004-08,France,Tunisia,15.0
TU 0720 ,TUN,ORY,TU 31BIMQ,2016-01-08 12:20:00,2016-01-08 14.40.00,cloudy,7582,2003-02,Tunisia,France,13.0
TU 0338 ,TUN,ALG,TU 332IFM,2016-01-08 14:30:00,2016-01-08 15.50.00,sunny,4076,2000-05,Tunisia,Algeria,49.0
TU 0722 ,TUN,ORY,TU 320IMS,2016-01-08 14:30:00,2016-01-08 17.00.00,windy,8987,2003-02,Tunisia,France,39.0
TU 0441 ,ORY,MIR,TU 31AIMK,2016-01-08 16:55:00,2016-01-08 19.25.00,rainy,8748,2011-03,France,Tunisia,15.0
TU 0724 ,TUN,ORY,TU 32AIMP,2016-01-08 18:30:00,2016-01-08 20.50.00,foggy,7307,2007-05,Tunisia,France,10.0
TU 0713 ,TUN,JED,TU 332IFM,2016-01-08 20:00:00,2016-01-08 23.55.00,cloudy,4076,2000-05,Tunisia,Saudi Arabia,38.0
TU 0680 ,MIR,MRS,TU 31AIMK,2016-01-09 07:00:00,2016-01-09 08.45.00,windy,8748,2011-03,Tunisia,France,10.0
TU 0716 ,TUN,ORY,TU 32AIMN,2016-01-09 07:35:00,2016-01-09 09.55.00,foggy,7003,2007-05,Tunisia,France,21.0
TU 0727 ,BRU,MIR,TU 32AIMD,2016-01-09 09:05:00,2016-01-09 11.50.00,rainy,4390,2004-08,Belgium,Tunisia,27.0
TU 0603 ,ZRH,TUN,TU 736IOK,2016-01-09 10:30:00,2016-01-09 12.40.00,sunny,6099,2003-02,Switzerland,Tunisia,8.0
TU 0717 ,ORY,TUN,TU 32AIMN,2016-01-09 10:55:00,2016-01-09 13.20.00,cloudy,7003,2007-05,France,Tunisia,32.0
TU 0790 ,TUN,LHR,TU 320IMR,2016-01-09 12:45:00,2016-01-09 15.50.00,sunny,5351,2003-02,Tunisia,United Kingdom,44.0
TU 0791 ,LHR,TUN,TU 320IMR,2016-01-09 16:50:00,2016-01-09 19.50.00,foggy,5351,2003-02,United Kingdom,Tunisia,43.0
TU 0635 ,ORY,DJE,TU 31AIMJ,2016-01-09 17:15:00,2016-01-09 20.00.00,windy,3329,2004-08,France,Tunisia,20.0
TU 0716 ,TUN,ORY,TU 32AIMN,2016-01-10 07:35:00,2016-01-10 09.55.00,windy,7003,2007-05,Tunisia,France,7.0
TU 0752 ,TUN,FCO,TU 320IMV,2016-01-10 07:40:00,2016-01-10 09.05.00,foggy,4301,2004-08,Tunisia,Italy,24.0
TU 0440 ,MIR,ORY,TU 31AIMK,2016-01-10 08:10:00,2016-01-10 10.35.00,sunny,8748,2011-03,Tunisia,France,12.0
TU 0745 ,FRA,TUN,TU 32AIMF,2016-01-10 10:30:00,2016-01-10 12.55.00,sunny,4501,2003-02,Germany,Tunisia,15.0
TU 0717 ,ORY,TUN,TU 32AIMN,2016-01-10 10:55:00,2016-01-10 13.20.00,windy,7003,2007-05,France,Tunisia,17.0
TU 0700 ,TUN,GVA,TU 32AIMD,2016-01-10 12:40:00,2016-01-10 14.35.00,sunny,4390,2004-08,Tunisia,Switzerland,47.0
TU 0607 ,MAD,TUN,TU 31BIMO,2016-01-10 17:25:00,2016-01-10 19.35.00,rainy,9065,2004-08,Spain,Tunisia,49.0
TU 0481 ,NTE,DJE,TU 736IOQ,2016-01-10 17:50:00,2016-01-10 20.35.00,rainy,5882,2010-01,France,Tunisia,30.0
TU 0724 ,TUN,ORY,TU 32AIMF,2016-01-10 18:30:00,2016-01-10 20.50.00,stormy,4501,2003-02,Tunisia,France,37.0
TU 0217 ,IST,TUN,TU 332IFM,2016-01-10 20:10:00,2016-01-10 23.00.00,cloudy,4076,2000-05,Turkey,Tunisia,29.0
TU 0397 ,OUA,ABJ,TU 320IMR,2016-01-10 23:40:00,2016-01-11 01.05.00,cloudy,5351,2003-02,Burkina Faso,Cote d'Ivoire,10.0
TU 0614 ,DKR,TUN,TU 320IMV,2016-01-11 01:20:00,2016-01-11 05.55.00,sunny,4301,2004-08,Senegal,Tunisia,27.0
TU 0790 ,TUN,LGW,TU 31BIMO,2016-01-11 07:05:00,2016-01-11 09.50.00,rainy,9065,2004-08,Tunisia,United Kingdom,29.0
TU 0542 ,TUN,MUC,TU 736IOP,2016-01-11 07:45:00,2016-01-11 10.00.00,rainy,7254,2004-08,Tunisia,Germany,35.0
TU 0996 ,TUN,NCE,TU 32AIMD,2016-01-11 07:45:00,2016-01-11 09.15.00,sunny,4390,2004-08,Tunisia,France,39.0
TU 0753 ,FCO,TUN,TU 320IMW,2016-01-11 10:05:00,2016-01-11 11.20.00,foggy,4086,2004-08,Italy,Tunisia,8.0
TU 0543 ,MUC,TUN,TU 736IOP,2016-01-11 10:50:00,2016-01-11 13.00.00,rainy,7254,2004-08,Germany,Tunisia,16.0
TU 0463 ,LYS,TUN,TU 31AIMK,2016-01-11 11:05:00,2016-01-11 12.55.00,windy,8748,2011-03,France,Tunisia,45.0
TU 0718 ,TUN,ORY,TU 32AIMH,2016-01-11 11:35:00,2016-01-11 13.55.00,cloudy,7437,2011-03,Tunisia,France,13.0
TU 0902 ,TUN,MRS,TU 736IOL,2016-01-11 13:15:00,2016-01-11 14.55.00,windy,8499,2003-02,Tunisia,France,33.0
TU 0250 ,MIR,NCE,TU 736IOR,2016-01-11 13:20:00,2016-01-11 15.05.00,sunny,5040,2010-01,Tunisia,France,10.0
TU 0903 ,MRS,TUN,TU 736IOL,2016-01-11 15:50:00,2016-01-11 17.25.00,sunny,8499,2003-02,France,Tunisia,10.0
TU 0711 ,TUN,CMN,TU 320IMU,2016-01-12 06:55:00,2016-01-12 09.40.00,stormy,6117,2011-03,Tunisia,Morocco,20.0
TU 0716 ,TUN,ORY,TU 320IMT,2016-01-12 07:35:00,2016-01-12 09.55.00,windy,8941,2010-01,Tunisia,France,18.0
TU 0930 ,TUN,MRS,TU 736IOK,2016-01-12 07:55:00,2016-01-12 09.30.00,stormy,6099,2003-02,Tunisia,France,8.0
TU 0338 ,TUN,ALG,TU 332IFN,2016-01-12 14:30:00,2016-01-12 15.50.00,cloudy,6374,2009-04,Tunisia,Algeria,43.0
TU 0744 ,TUN,FRA,TU 32AIMI,2016-01-13 07:05:00,2016-01-13 09.40.00,foggy,4533,2009-04,Tunisia,Germany,22.0
TU 0514 ,TUN,BCN,TU 32AIMP,2016-01-13 07:15:00,2016-01-13 09.00.00,windy,7307,2007-05,Tunisia,Spain,28.0
TU 0472 ,TUN,VCE,TU 736IOQ,2016-01-13 07:30:00,2016-01-13 09.10.00,windy,5882,2010-01,Tunisia,Italy,14.0
TU 0716 ,TUN,ORY,TU 320IMV,2016-01-13 07:35:00,2016-01-13 09.50.00,foggy,4301,2004-08,Tunisia,France,18.0
TU 0752 ,TUN,FCO,TU 31BIMO,2016-01-13 07:40:00,2016-01-13 09.00.00,foggy,9065,2004-08,Tunisia,Italy,23.0
TU 0996 ,TUN,NCE,TU 320IMR,2016-01-13 07:45:00,2016-01-13 09.15.00,sunny,5351,2003-02,Tunisia,France,29.0
TU 0712 ,CMN,TUN,TU 320IMS,2016-01-13 10:30:00,2016-01-13 12.55.00,sunny,8987,2003-02,Morocco,Tunisia,6.0
TU 0338 ,TUN,ALG,TU 332IFM,2016-01-13 14:30:00,2016-01-13 15.50.00,foggy,4076,2000-05,Tunisia,Algeria,26.0
TU 0722 ,TUN,ORY,TU 320IMS,2016-01-13 15:10:00,2016-01-13 17.30.00,foggy,8987,2003-02,Tunisia,France,21.0
TU 0217 ,IST,TUN,TU 32AIMP,2016-01-13 20:10:00,2016-01-13 23.00.00,rainy,7307,2007-05,Turkey,Tunisia,25.0
TU 0711 ,TUN,CMN,TU 32AIMP,2016-01-14 06:55:00,2016-01-14 09.40.00,foggy,7307,2007-05,Tunisia,Morocco,29.0
TU 0813 ,TUN,CAI,TU 320IMT,2016-01-14 07:05:00,2016-01-14 10.10.00,windy,8941,2010-01,Tunisia,Egypt,18.0
TU 0681 ,MRS,TUN,TU 320IMV,2016-01-14 10:45:00,2016-01-14 12.20.00,cloudy,4301,2004-08,France,Tunisia,43.0
TU 0375 ,ALG,TUN,TU 32AIMH,2016-01-14 10:45:00,2016-01-14 11.55.00,stormy,7437,2011-03,Algeria,Tunisia,8.0
TU 0814 ,CAI,TUN,TU 320IMT,2016-01-14 11:00:00,2016-01-14 14.20.00,cloudy,8941,2010-01,Egypt,Tunisia,5.0
TU 0850 ,TUN,LYS,TU 736IOL,2016-01-14 12:15:00,2016-01-14 14.05.00,foggy,8499,2003-02,Tunisia,France,10.0
TU 0700 ,TUN,GVA,TU 31BIMO,2016-01-14 12:40:00,2016-01-14 14.35.00,rainy,9065,2004-08,Tunisia,Switzerland,14.0
TU 0209 ,NTE,TUN,TU 736IOK,2016-01-14 16:00:00,2016-01-14 18.20.00,rainy,6099,2003-02,France,Tunisia,28.0
TU 0396 ,BKO,TUN,TU 31BIMO,2016-01-15 01:15:00,2016-01-15 05.50.00,rainy,9065,2004-08,Mali,Tunisia,6.0
TU 0752 ,TUN,FCO,TU 31BIMO,2016-01-15 07:40:00,2016-01-15 09.00.00,stormy,9065,2004-08,Tunisia,Italy,7.0
TU 0283 ,TLS,TUN,TU 736IOK,2016-01-15 10:15:00,2016-01-15 12.10.00,foggy,6099,2003-02,France,Tunisia,35.0
TU 0527 ,DUS,TUN,TU 736IOL,2016-01-15 11:55:00,2016-01-15 14.35.00,sunny,8499,2003-02,Germany,Tunisia,4.0
TU 0700 ,TUN,GVA,TU 31BIMO,2016-01-15 12:40:00,2016-01-15 14.35.00,windy,9065,2004-08,Tunisia,Switzerland,14.0
TU 0848 ,BEY,TUN,TU 31BIMQ,2016-01-15 13:35:00,2016-01-15 17.10.00,stormy,7582,2003-02,Lebanon,Tunisia,7.0
TU 0216 ,TUN,IST,TU 320IMU,2016-01-15 16:00:00,2016-01-15 18.35.00,foggy,6117,2011-03,Tunisia,Turkey,29.0
TU 0723 ,ORY,TUN,TU 332IFM,2016-01-15 18:30:00,2016-01-15 21.00.00,stormy,4076,2000-05,France,Tunisia,8.0
TU 0913 ,TUN,MED,TU 320IMR,2016-01-15 19:40:00,2016-01-16 00.00.00,sunny,5351,2003-02,Tunisia,Saudi Arabia,10.0
TU 0711 ,TUN,CMN,TU 31BIMQ,2016-01-16 06:55:00,2016-01-16 09.40.00,foggy,7582,2003-02,Tunisia,Morocco,17.0
TU 0716 ,TUN,ORY,TU 32AIMP,2016-01-16 07:35:00,2016-01-16 09.55.00,stormy,7307,2007-05,Tunisia,France,6.0
TU 0215 ,IST,TUN,TU 32AIMN,2016-01-16 08:00:00,2016-01-16 10.50.00,stormy,7003,2007-05,Turkey,Tunisia,15.0
TU 0788 ,TUN,BRU,TU 320IMU,2016-01-16 08:00:00,2016-01-16 10.35.00,rainy,6117,2011-03,Tunisia,Belgium,6.0
TU 0375 ,ALG,TUN,TU 320IMT,2016-01-16 10:45:00,2016-01-16 11.55.00,rainy,8941,2010-01,Algeria,Tunisia,30.0
TU 6180 ,KGL,TUN,TU 320IMV,2016-01-16 15:00:00,2016-01-16 22.10.00,rainy,4301,2004-08,Rwanda,Tunisia,6.0
TU 0903 ,MRS,TUN,TU 320IMR,2016-01-16 15:50:00,2016-01-16 17.25.00,foggy,5351,2003-02,France,Tunisia,27.0
TU 0724 ,TUN,ORY,TU 320IMR,2016-01-16 18:30:00,2016-01-16 20.50.00,rainy,5351,2003-02,Tunisia,France,24.0
TU 0642 ,TUN,VIE,TU 736IOQ,2016-01-17 07:35:00,2016-01-17 09.50.00,stormy,5882,2010-01,Tunisia,Austria,26.0
TU 0930 ,TUN,MRS,TU 320IMS,2016-01-17 07:55:00,2016-01-17 09.30.00,foggy,8987,2003-02,Tunisia,France,12.0
TU 0440 ,MIR,ORY,TU 32AIML,2016-01-17 08:10:00,2016-01-17 10.35.00,stormy,6767,2010-01,Tunisia,France,23.0
TU 0789 ,BRU,TUN,TU 32AIMP,2016-01-17 11:35:00,2016-01-17 14.15.00,foggy,7307,2007-05,Belgium,Tunisia,25.0
TU 0694 ,DJE,MRS,TU 736IOL,2016-01-17 14:00:00,2016-01-17 15.55.00,rainy,8499,2003-02,Tunisia,France,20.0
TU 0757 ,MXP,TUN,TU 320IMT,2016-01-17 15:05:00,2016-01-17 17.00.00,sunny,8941,2010-01,Italy,Tunisia,21.0
TU 0722 ,TUN,ORY,TU 32AIMP,2016-01-17 15:10:00,2016-01-17 17.30.00,rainy,7307,2007-05,Tunisia,France,24.0
TU 0216 ,TUN,IST,TU 332IFN,2016-01-17 16:00:00,2016-01-17 18.35.00,cloudy,6374,2009-04,Tunisia,Turkey,16.0
TU 0613 ,TUN,DKR,TU 320IMR,2016-01-17 19:00:00,2016-01-18 00.15.00,stormy,5351,2003-02,Tunisia,Senegal,45.0
TU 0374 ,TUN,ALG,TU 320IMV,2016-01-18 08:15:00,2016-01-18 09.35.00,foggy,4301,2004-08,Tunisia,Algeria,42.0
TU 0634 ,MIR,ORY,TU 32AIMD,2016-01-18 08:30:00,2016-01-18 10.55.00,foggy,4390,2004-08,Tunisia,France,30.0
TU 0931 ,MRS,TUN,TU 32AIMF,2016-01-18 10:20:00,2016-01-18 11.55.00,rainy,4501,2003-02,France,Tunisia,2.0
TU 0745 ,FRA,TUN,TU 320IMU,2016-01-18 10:30:00,2016-01-18 12.55.00,stormy,6117,2011-03,Germany,Tunisia,9.0
TU 0712 ,CMN,TUN,TU 320IMT,2016-01-18 10:30:00,2016-01-18 12.55.00,cloudy,8941,2010-01,Morocco,Tunisia,36.0
TU 0791 ,LGW,TUN,TU 31BIMO,2016-01-18 10:40:00,2016-01-18 13.30.00,windy,9065,2004-08,United Kingdom,Tunisia,11.0
TU 0717 ,ORY,TUN,TU 32AIMI,2016-01-18 10:55:00,2016-01-18 13.20.00,foggy,4533,2009-04,France,Tunisia,15.0
TU 0606 ,TUN,MAD,TU 31BIMO,2016-01-18 14:15:00,2016-01-18 16.20.00,cloudy,9065,2004-08,Tunisia,Spain,19.0
TU 0338 ,TUN,ALG,TU 320IMV,2016-01-18 14:30:00,2016-01-18 15.50.00,windy,4301,2004-08,Tunisia,Algeria,21.0
TU 0635 ,MIR,DJE,TU 32AIMD,2016-01-18 15:05:00,2016-01-18 15.45.00,sunny,4390,2004-08,Tunisia,Tunisia,30.0
TU 0903 ,MRS,TUN,TU 736IOL,2016-01-18 15:50:00,2016-01-18 17.25.00,cloudy,8499,2003-02,France,Tunisia,2.0
TU 0745 ,FRA,TUN,TU 736IOP,2016-01-19 10:30:00,2016-01-19 12.55.00,sunny,7254,2004-08,Germany,Tunisia,9.0
TU 0700 ,ZRH,GVA,TU 32AIMI,2016-01-19 12:55:00,2016-01-19 13.40.00,windy,4533,2009-04,Switzerland,Switzerland,18.0
TU 0216 ,TUN,IST,TU 31BIMO,2016-01-19 16:00:00,2016-01-19 18.35.00,cloudy,9065,2004-08,Tunisia,Turkey,8.0
TU 0724 ,TUN,ORY,TU 32AIMI,2016-01-19 18:30:00,2016-01-19 20.50.00,foggy,4533,2009-04,Tunisia,France,8.0
TU 0542 ,TUN,MUC,TU 736IOQ,2016-01-20 07:45:00,2016-01-20 10.00.00,cloudy,5882,2010-01,Tunisia,Germany,14.0
TU 0930 ,TUN,MRS,TU 32AIMF,2016-01-20 07:55:00,2016-01-20 09.30.00,rainy,4501,2003-02,Tunisia,France,36.0
TU 0725 ,ORY,TUN,TU 32AIMI,2016-01-20 08:00:00,2016-01-20 10.25.00,windy,4533,2009-04,France,Tunisia,11.0
TU 0750 ,TUN,LYS,TU 736IOL,2016-01-20 08:00:00,2016-01-20 09.50.00,cloudy,8499,2003-02,Tunisia,France,25.0
TU 0526 ,TUN,DUS,TU 736IOP,2016-01-20 08:20:00,2016-01-20 11.05.00,sunny,7254,2004-08,Tunisia,Germany,15.0
TU 0712 ,CMN,TUN,TU 320IMS,2016-01-20 10:30:00,2016-01-20 12.55.00,windy,8987,2003-02,Morocco,Tunisia,7.0
TU 0283 ,TLS,TUN,TU 736IOK,2016-01-20 10:55:00,2016-01-20 12.50.00,windy,6099,2003-02,France,Tunisia,30.0
TU 0752 ,TUN,FCO,TU 31BIMO,2016-01-21 07:40:00,2016-01-21 09.05.00,stormy,9065,2004-08,Tunisia,Italy,47.0
TU 0753 ,FCO,TUN,TU 31BIMO,2016-01-21 10:05:00,2016-01-21 11.20.00,sunny,9065,2004-08,Italy,Tunisia,30.0
TU 0709 ,ORN,TUN,TU 320IMW,2016-01-21 10:15:00,2016-01-21 12.00.00,windy,4086,2004-08,Algeria,Tunisia,14.0
TU 0745 ,FRA,TUN,TU 736IOL,2016-01-21 10:30:00,2016-01-21 12.55.00,cloudy,8499,2003-02,Germany,Tunisia,10.0
TU 0814 ,CAI,TUN,TU 320IMU,2016-01-21 11:00:00,2016-01-21 14.20.00,windy,6117,2011-03,Egypt,Tunisia,10.0
TU 0718 ,TUN,ORY,TU 32AIMF,2016-01-21 11:35:00,2016-01-21 13.55.00,cloudy,4501,2003-02,Tunisia,France,23.0
TU 0719 ,ORY,TUN,TU 32AIMF,2016-01-21 14:55:00,2016-01-21 17.20.00,stormy,4501,2003-02,France,Tunisia,35.0
TU 0397 ,TUN,OUA,TU 320IMW,2016-01-21 17:00:00,2016-01-21 21.20.00,foggy,4086,2004-08,Tunisia,Burkina Faso,8.0
TU 0613 ,TUN,DKR,TU 320IMS,2016-01-21 19:00:00,2016-01-22 00.15.00,rainy,8987,2003-02,Tunisia,Senegal,6.0
TU 0713 ,TUN,JED,TU 332IFM,2016-01-21 19:20:00,2016-01-21 23.15.00,sunny,4076,2000-05,Tunisia,Saudi Arabia,13.0
TU 0564 ,NKC,TUN,TU 32AIMN,2016-01-22 00:15:00,2016-01-22 04.30.00,cloudy,7003,2007-05,Mauritania,Tunisia,8.0
TU 0374 ,TUN,ALG,TU 320IMU,2016-01-22 08:15:00,2016-01-22 09.35.00,sunny,6117,2011-03,Tunisia,Algeria,13.0
TU 0526 ,TUN,DUS,TU 736IOL,2016-01-22 08:20:00,2016-01-22 11.05.00,stormy,8499,2003-02,Tunisia,Germany,11.0
TU 0718 ,TUN,ORY,TU 320IMW,2016-01-22 10:05:00,2016-01-22 12.25.00,rainy,4086,2004-08,Tunisia,France,23.0
TU 0850 ,TUN,LYS,TU 32AIMP,2016-01-22 12:15:00,2016-01-22 14.05.00,rainy,7307,2007-05,Tunisia,France,9.0
TU 0472 ,TUN,VCE,TU 32AIML,2016-01-22 13:00:00,2016-01-22 14.40.00,rainy,6767,2010-01,Tunisia,Italy,17.0
TU 0791 ,LHR,TUN,TU 31BIMQ,2016-01-22 16:50:00,2016-01-22 19.50.00,rainy,7582,2003-02,United Kingdom,Tunisia,28.0
TU 0874 ,DJE,TUN,TU 32AIMH,2016-01-23 05:45:00,2016-01-23 06.35.00,windy,7437,2011-03,Tunisia,Tunisia,25.0
TU 0788 ,TUN,BRU,TU 31BIMQ,2016-01-23 08:00:00,2016-01-23 10.35.00,windy,7582,2003-02,Tunisia,Belgium,5.0
